City,total_deals,total_amount
Porta Westfalica,1,11000.0
Postbauer-Heng,1,5000.0
Potsdam,6,40500.0
Prenzlau,1,11000.0
Prostejov,1,3500.0
Przesław,1,3500.0
Pullach im Isartal,1,11000.0
Pyrbaum,1,11000.0
Pößneck,1,11000.0
Quedlinburg,2,16000.0
Quickborn,1,11000.0
Radebeul,1,4500.0
Randersacker,2,13000.0
Rangsdorf,1,4000.0
Raschau-Markersbach,1,11000.0
Rastatt,2,12000.0
Rathenow,2,22000.0
Ravensburg,2,22000.0
Rechitsa,1,4500.0
Recklinghausen,1,11000.0
Rees,1,11000.0
Regensburg,10,84500.0
Reichenau,1,5000.0
Reichenbach,2,14000.0
Remchingen,1,5000.0
Remscheid,2,22000.0
Rendsburg,1,11000.0
Retzstadt,1,11000.0
Reutlingen,4,29000.0
Rheda-Wiedenbrück,1,5000.0
Rheine,2,13900.0
Riedstadt,1,11000.0
Riesa,1,11500.0
Riga,1,3500.0
Rinteln,1,11000.0
Rodewisch,1,2000.0
Rohrdorf,2,6500.0
Rommerskirchen,1,11500.0
Rosbach vor der Höhe,1,11000.0
Rosengarten,1,5000.0
Rosenheim,1,9000.0
Rostock,12,110000.0
Rotenburg an der Fulda,1,11000.0
Rothenburg ob der Tauber,1,11000.0
Rotterdam,1,4000.0
Rudolstadt,1,5000.0
Ruhla,1,11000.0
Runkel,1,11000.0
Rust,1,3500.0
Rötgesbüttel,1,9000.0
Röttingen,1,11000.0
Rüdesheim am Rhein,1,11000.0
Saalfeld,1,11000.0
Saarbrücken,8,75000.0
Saarlouis,2,14500.0
Saint Petersburg,1,2500.0
Salzgitter,1,11000.0
Salzwedel,1,11000.0
Sand am Main,1,11000.0
Sandersdorf,1,11000.0
Sankt Augustin,1,11000.0
Sankt Georgen im Schwarzwald,3,23200.0
Sankt Ingbert,1,11000.0
Sankt Leon-Rot,1,9000.0
Sasbach,1,4000.0
Scharbeutz,1,11000.0
Schenefeld,1,4000.0
Schieder-Schwalenberg,2,22000.0
Schkeuditz,1,11000.0
Schlangen,1,11000.0
Schliersee,1,11000.0
Schmallenberg,1,11000.0
Schmölln,1,4000.0
Schonach im Schwarzwald,1,11000.0
Schrozberg,1,5000.0
Schwaig,1,11000.0
Schwalbach,2,22000.0
Schwandorf,6,59000.0
Schwanewede,1,3000.0
